time,kf_x,odom_x
1751034082.996625,0.856447,0.855945
1751034083.018159,0.858539,0.860345
1751034083.041014,0.862923,0.864745
1751034083.063355,0.866636,0.869145
1751034083.086659,0.871925,0.873545
1751034083.108769,0.875433,0.877945
1751034083.130430,0.878455,0.882345
1751034083.151923,0.881460,0.886745
1751034083.173724,0.885146,0.891145
1751034083.196063,0.889772,0.895545
1751034083.219885,0.896626,0.899945
1751034083.241873,0.900560,0.904345
1751034083.264117,0.904991,0.908745
1751034083.286533,0.909736,0.913145
1751034083.310820,0.917271,0.917545
1751034083.333771,0.922542,0.921945
1751034083.356020,0.926748,0.926345
1751034083.378486,0.931364,0.930745
1751034083.401939,0.937483,0.935145
1751034083.423873,0.941230,0.939545
1751034083.447400,0.947473,0.943945
1751034083.469492,0.951454,0.948345
1751034083.491778,0.955839,0.952745
1751034083.514199,0.960491,0.957145
1751034083.536829,0.965488,0.961545
1751034083.559743,0.970905,0.965945
1751034083.583041,0.976838,0.970345
1751034083.605669,0.981674,0.974745
1751034083.629028,0.987610,0.979145
1751034083.651684,0.992403,0.983545
1751034083.674001,0.996719,0.987945
1751034083.696322,1.001118,0.992345
1751034083.718228,1.004972,0.996745
1751034083.741091,1.010369,1.001145
1751034083.765290,1.017691,1.005545
1751034083.787688,1.022087,1.009945
1751034083.809611,1.025852,1.014345
1751034083.832134,1.030644,1.018745
1751034083.854935,1.035868,1.023145
1751034083.877039,1.040033,1.027545
1751034083.898703,1.043640,1.031945
1751034083.920136,1.047058,1.036345
1751034083.943309,1.053220,1.040745
1751034083.966552,1.059346,1.045145
1751034083.988998,1.064159,1.049545
1751034084.011458,1.069008,1.053945
1751034084.033529,1.073297,1.058345
1751034084.055748,1.077877,1.062745
1751034084.080066,1.085603,1.067145
1751034084.104278,1.092858,1.071545
1751034084.131224,1.103901,1.075945
1751034084.162579,1.120788,1.080345
1751034084.184369,1.122218,1.084745
1751034084.208434,1.127456,1.089145
1751034084.234339,1.135421,1.093545
1751034084.256820,1.138024,1.097945
1751034084.279614,1.141399,1.102345
1751034084.302670,1.145377,1.106745
1751034084.325078,1.148542,1.111145
1751034084.346891,1.151060,1.115545
1751034084.368621,1.153755,1.119945
1751034084.390698,1.157238,1.124345
1751034084.412611,1.160660,1.128745
1751034084.434834,1.164725,1.133145
1751034084.457820,1.170025,1.137545
1751034084.480107,1.174261,1.141945
1751034084.502168,1.178250,1.146345
1751034084.524956,1.183428,1.150745
1751034084.547339,1.187986,1.155145
1751034084.569822,1.192740,1.159545
1751034084.593615,1.199456,1.163945
1751034084.615776,1.203563,1.168345
1751034084.638188,1.208144,1.172745
1751034084.660167,1.212131,1.177145
1751034084.682914,1.217364,1.181545
1751034084.705563,1.222421,1.185945
1751034084.727734,1.226763,1.190345
1751034084.750087,1.231444,1.194745
1751034084.772792,1.236678,1.199145
1751034084.795314,1.241609,1.203545
1751034084.817799,1.246488,1.207945
1751034084.840977,1.252401,1.212345
1751034084.862865,1.256299,1.216745
1751034084.886286,1.262586,1.221145
1751034084.908690,1.267219,1.225545
1751034084.930414,1.270886,1.229945
1751034084.952474,1.275196,1.234345
1751034084.974727,1.279861,1.238745
1751034084.997428,1.285222,1.243145
1751034085.019926,1.290232,1.247545
1751034085.041376,1.293686,1.251945
1751034085.064812,1.300243,1.256345
1751034085.088168,1.306497,1.260745
1751034085.111257,1.312208,1.265145
1751034085.136593,1.321160,1.269545
1751034085.159452,1.326002,1.273945
1751034085.183365,1.332428,1.278345
1751034085.206021,1.336843,1.282745
1751034085.227617,1.339765,1.287145
1751034085.251206,1.345875,1.291545
1751034085.274195,1.350977,1.295945
1751034085.296897,1.355648,1.300345
1751034085.319554,1.360295,1.304745
1751034085.341998,1.364673,1.309145
1751034085.364821,1.369683,1.313545
1751034085.387039,1.373802,1.317945
